Date,ndvi,evi,savi,ndvi_smooth,evi_smooth,savi_smooth,ndvi_normalized,evi_normalized,savi_normalized,field_id,Temperature_C,cycle_id,growth_stage
2019-06-02,0.1303037433298162,0.0865996839908617,0.0871877964971078,0.1439962275732797,0.0993512181629314,0.0971564352240232,0.0569627516857743,0.0508420107107919,0.0492234798640695,Field_1,36.88071428571429,Field_1_2019,Vegetative
2019-06-09,0.1307383940844301,0.0871155028591874,0.0888751904004794,0.1241954731718515,0.0856391148413724,0.0844149326535138,0.0300720154500044,0.0292862633212048,0.0263884940666698,Field_1,38.03857142857142,Field_1_2019,Vegetative
2019-06-16,0.1115442821013083,0.0832021576740683,0.0771818110629542,0.122163741969977,0.0876561610967604,0.0856894357331402,0.0273127898799094,0.0324571072489846,0.0286726249657501,Field_1,37.85642857142857,Field_1_2019,Vegetative
2019-06-23,0.1242085497241927,0.0926508227570256,0.091011305735987,0.1264518075578634,0.0954618292608764,0.0902840680937929,0.0331362670236498,0.0447278003153126,0.0369070042408141,Field_1,34.16214285714286,Field_1_2019,Vegetative
2019-06-30,0.1436025908480891,0.1105325073515353,0.1026590874824375,0.1436025908480891,0.1105325073515353,0.1026590874824375,0.0564281669353545,0.0684192590429656,0.059085188518412,Field_1,36.35928571428571,Field_1_2019,Vegetative
2019-07-07,0.1629966319719856,0.1284141919460449,0.1143068692288881,0.1795783907864622,0.1402654555565386,0.1267174129697653,0.105285686573285,0.1151601495996348,0.1022018867078301,Field_1,36.86857142857144,Field_1_2019,Vegetative
2019-07-14,0.2321359495393118,0.1818496673720355,0.1631862821979704,0.2321359495393118,0.1818496673720355,0.1631862821979704,0.1766623331881695,0.1805315039622144,0.1675604349846048,Field_1,34.61142857142857,Field_1_2019,Vegetative
2019-07-21,0.3012752671066379,0.2352851427980261,0.2120656951670528,0.3012752671066379,0.2352851427980261,0.2120656951670528,0.2705581067800079,0.2645333221307044,0.2551608333487363,Field_1,30.457857142857144,Field_1_2019,Vegetative
2019-07-28,0.370414584673964,0.2887206182240167,0.2609451081361352,0.3704145846739641,0.2887206182240167,0.2609451081361352,0.3644538803718465,0.3485351402991942,0.3427612317128677,Field_1,31.55642857142857,Field_1_2019,Vegetative
2019-08-04,0.4395539022412902,0.3421560936500073,0.3098245211052176,0.4395539022412902,0.3421560936500072,0.3098245211052176,0.4583496539636849,0.4325369584676841,0.4303616300769991,Field_1,30.18928571428572,Field_1_2019,Vegetative
2019-08-11,0.5086932198086164,0.3955915690759979,0.3587039340742999,0.5086932198086164,0.3955915690759979,0.3587039340742999,0.5522454275555234,0.5165387766361741,0.5179620284411305,Field_1,30.34928571428572,Field_1_2019,Vegetative
2019-08-18,0.5778325373759425,0.4490270445019886,0.4075833470433823,0.5778325373759424,0.4490270445019885,0.4075833470433823,0.6461412011473618,0.600540594804664,0.605562426805262,Field_1,29.31,Field_1_2019,Vegetative
2019-08-25,0.6469718549432686,0.5024625199279792,0.4564627600124647,0.6154095762965872,0.5002183332917628,0.436593602420976,0.6971733094019562,0.6810144990498896,0.6575538435051688,Field_1,28.513571428571428,Field_1_2019,Vegetative
2019-09-01,0.6214243365705504,0.5491654354453204,0.4457347002070811,0.6214243365705504,0.5491654354453203,0.4457347002070811,0.7053417523193061,0.7579604893718502,0.6739362785408511,Field_1,29.96642857142857,Field_1_2019,Peak
2019-09-08,0.5958768181978321,0.5958683509626614,0.4350066404016975,0.5958768181978321,0.5958683509626614,0.4350066404016975,0.6706465298994118,0.8313785657705465,0.6547097319123091,Field_1,29.73071428571429,Field_1_2019,Senescence
2019-09-15,0.5703292998251139,0.6425712664800026,0.4242785805963139,0.5470138376077877,0.5877345010993583,0.4012741061354506,0.6042873651877048,0.8185919633911344,0.5942551711870391,Field_1,29.830714285714286,Field_1_2019,Senescence
2019-09-22,0.474835394800417,0.524763885855411,0.3445370974083405,0.4748353948004171,0.524763885855411,0.3445370974083405,0.5062642581841852,0.7196006822336143,0.4925725963650413,Field_1,28.51,Field_1_2019,Senescence
2019-09-29,0.3793414897757202,0.4069565052308194,0.2647956142203671,0.3814007503328869,0.4027306285701275,0.2709581728001379,0.3793738211471969,0.527761545269542,0.3607063828538454,Field_1,27.583571428571428,Field_1_2019,Senescence
2019-10-06,0.2900253664225236,0.2764714946241522,0.2035418067717061,0.2900253664225236,0.2764714946241522,0.2035418067717061,0.2552799963685528,0.3292792312770261,0.2398845447501789,Field_1,24.43,Field_1_2019,Senescence
2019-10-13,0.200709243069327,0.145986484017485,0.1422879993230451,0.2032546726347787,0.1635796561367437,0.1398514294199185,0.1374396458275296,0.1518106186423324,0.1257403255569674,Field_1,24.983571428571427,Field_1_2019,Senescence
2019-10-20,0.1190294084124856,0.068280989768594,0.0737244821650045,0.1527391044300934,0.1077592603837216,0.1010575926108433,0.0688361576546619,0.0640596498943719,0.0562150315298552,Field_1,24.917857142857144,Field_1_2019,Senescence
2019-10-27,0.1384786618084676,0.1090103073650859,0.0871602963444803,0.1381044753884132,0.0933863867341108,0.0843289423056946,0.0489613619024467,0.0414651560820077,0.0262343844269081,Field_1,23.720714285714283,Field_1_2019,Senescence
2019-11-03,0.1568053559442863,0.1028678630686525,0.0921020484075991,0.1568053559442863,0.1028678630686525,0.0921020484075991,0.0743583965916074,0.0563702588189738,0.040165140745201,Field_1,24.06,Field_1_2019,Senescence
2019-11-10,0.175132050080105,0.0967254187722192,0.0970438004707179,0.1734458934684968,0.1026214926923292,0.0996724492482055,0.0969573489503468,0.0559829588204423,0.0537326140254704,Field_1,21.61285714285714,Field_1_2019,Senescence
